host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_listings_count,host_total_listings_count,host_identity_verified,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,beds,price,minimum_nights,maximum_nights,minimum_minimum_nights,maximum_minimum_nights,minimum_maximum_nights,maximum_maximum_nights,minimum_nights_avg_ntm,maximum_nights_avg_ntm,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,name_length,description_length,host_about_length,bathroom,bathroom_type,host_verifications_count,amenities_count,days_joined
within a few hours,91,97,FALSE,22,22,TRUE,River Valley,Central Region,1.29637,103.83847,apartment,Private room,3,1,1,90,2,1125,1,2,1125,1125,2,1125,15,45,75,350,2,1,0,100,10,9,8,9,9,10,TRUE,8,7,1,0,0.16,50,998,2,1,Private,7,28,1904
within an hour,95,91,FALSE,48,48,TRUE,Novena,Central Region,1.32322,103.8552,condominium,Entire home/apt,3,1,2,130,28,1124,28,28,1125,1125,28,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,48,48,0,0,NA,34,999,40,1,Other,7,29,361
within an hour,93,100,FALSE,56,56,TRUE,Kallang,Central Region,1.31142,103.86258,apartment,Private room,1,1,1,26,18,1125,18,18,1125,1125,18,1125,29,59,89,364,4,4,0,80,9,7,10,10,10,8,TRUE,68,1,67,0,0.37,47,1000,111,3,Shared,7,28,904
within a few hours,96,49,FALSE,33,33,TRUE,Novena,Central Region,1.32803,103.8468,condominium,Entire home/apt,3,1,1,98,28,1125,28,28,1125,1125,28,1125,30,60,90,180,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,43,43,0,0,NA,46,1000,371,1,Other,8,18,1914
within an hour,95,91,FALSE,48,48,TRUE,Novena,Central Region,1.32467,103.85644,condominium,Entire home/apt,3,1,2,142,7,1124,7,7,1125,1125,7,1125,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,48,48,0,0,NA,37,999,40,1,Other,7,31,361
within an hour,95,91,FALSE,48,48,TRUE,Novena,Central Region,1.32423,103.85613,condominium,Entire home/apt,3,1,2,153,3,1124,1,3,1125,1125,2.9,1125,0,0,0,0,6,6,0,93,9,9,8,9,10,9,FALSE,48,48,0,0,0.63,36,999,40,1,Other,7,31,361
within a few hours,90,73,FALSE,8,8,TRUE,Tanglin,Central Region,1.31023,103.80553,condominium,Entire home/apt,5,2,4,199,3,1125,3,3,1125,1125,3,1125,1,1,1,1,4,4,0,95,10,10,10,10,10,9,FALSE,8,8,0,0,0.33,24,995,NA,2,Other,6,16,2051
within an hour,95,100,FALSE,68,68,TRUE,Bukit Merah,Central Region,1.28393,103.83345,apartment,Private room,1,1,1,24,18,1125,18,18,1125,1125,18,1125,29,59,89,364,1,1,0,100,10,10,10,10,10,10,FALSE,79,1,78,0,0.14,42,1000,84,2,Shared,5,26,1550
within an hour,95,99,FALSE,4,4,TRUE,Downtown Core,Central Region,1.29848,103.85811,apartment,Private room,2,1,1,85,1,180,1,1,1125,1125,1,1125,29,59,89,92,19,18,0,96,9,10,10,10,9,9,TRUE,4,0,4,0,1.49,31,998,97,1,Shared,7,24,564
within a day,50,95,FALSE,6,6,TRUE,Rochor,Central Region,1.30252,103.86023,hostel,Shared room,1,1,1,497,1,365,1,1,1,365,1,59.5,0,27,57,332,2,2,0,80,9,8,8,9,10,8,TRUE,7,0,0,1,0.17,49,999,NA,6,Shared,3,13,1200
within an hour,100,94,FALSE,0,0,TRUE,Queenstown,Central Region,1.29197,103.76814,hotel,Private room,2,1,2,102,1,365,1,1,365,365,1,365,30,60,90,365,0,0,0,NA,NA,NA,NA,NA,NA,NA,TRUE,4,0,4,0,NA,42,380,NA,1,Private,2,27,357
within an hour,100,60,FALSE,120,120,TRUE,Newton,Central Region,1.30449,103.83793,serviced apartment,Entire home/apt,5,2,3,600,3,1125,3,3,1125,1125,3,1125,29,59,89,364,0,0,0,NA,NA,NA,NA,NA,NA,NA,FALSE,113,113,0,0,NA,45,612,121,1,Other,4,20,707
within an hour,95,99,FALSE,4,4,TRUE,Downtown Core,Central Region,1.29838,103.85642,apartment,Private room,2,1,1,79,2,180,2,2,1125,1125,2,1125,29,59,89,92,5,5,0,96,10,10,10,10,10,10,TRUE,4,0,4,0,0.43,34,998,97,1,Shared,7,24,564
